,,,,,,,400,600,1045,2090,50%,,,"Topwear,Shirts,Tshirts",,,,,,Trousers,,Dress ,,,,,,Coord Set / Jumpsuits,,,,Ethnic Kurti / Set,,,,,,,,,Denim Jeans,,,,Outerwear / Jackets,,
Style Code,Brand Name,Category Type,SKU Id,Color,Size,L1,Fibre Composition,COO,PO PRCE,OSP in SAR,PO Qnty,Knitted / Wovan,Product Name / Title,Tops_Fit,Top_Tyle,Top_Neck,Top_Lenth,Top_pattern & Prints,sleeve_length,*pattern,*product_type_trousers,Dress Print,Dress Length,Dress Shape,*sleeve_length_women_topwear_dr(dress),*neck_women(dress),*sleeve_styling(dress),*pattern,*print_or_pattern_type,*bottom_type_sets,*top_type_set,Print,Length,ethnic_sleeve_length,*ethnic_pattern,*ethnic_fit,*ethnic_type,*ethnic_neckline,*ethnic_leg_style,ethnic_sleeve_type,Jeans_Fit,Jeans_Waist Rise,Jeans_stretch,Jeans_Wash Shade,pattern,product_type_Outerwear,length_topwear_nightwear_outer
HRDS25001-A-BLACK-S,House Of Raeli,Dresses,,Black,S,Women,100% Polyester,India,600,95,4,Woven,Women's Black Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-A-BLACK-M,House Of Raeli,Dresses,,Black,M,Women,100% Polyester,India,600,95,7,Woven,Women's Black Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-A-BLACK-L,House Of Raeli,Dresses,,Black,L,Women,100% Polyester,India,600,95,7,Woven,Women's Black Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-A-BLACK-XL,House Of Raeli,Dresses,,Black,XL,Women,100% Polyester,India,600,95,4,Woven,Women's Black Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-A-BLACK-XXL,House Of Raeli,Dresses,,Black,XXL,Women,100% Polyester,India,600,95,4,Woven,Women's Black Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-B-LILAC-S,House Of Raeli,Dresses,,Lilac,S,Women,100% Polyester,India,600,95,4,Woven,Women's Lilac Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-B-LILAC-M,House Of Raeli,Dresses,,Lilac,M,Women,100% Polyester,India,600,95,7,Woven,Women's Lilac Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-B-LILAC-L,House Of Raeli,Dresses,,Lilac,L,Women,100% Polyester,India,600,95,7,Woven,Women's Lilac Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25001-B-LILAC-XL,House Of Raeli,Dresses,,Lilac,XL,Women,100% Polyester,India,600,95,4,Woven,Women's Lilac Polymoss Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
