Attribute Category,Attribute Value
neck_women (dress),Asymmetric Neck
neck_women (dress),Bandeau Neck
neck_women (dress),Bardot Neck
neck_women (dress),Boat Neck
neck_women (dress),Collared
neck_women (dress),Cowl Neck
neck_women (dress),Halter Neck
neck_women (dress),High Neck
neck_women (dress),Keyhole Neck
neck_women (dress),Off Shoulder Neck
neck_women (dress),One Shoulder Neck
neck_women (dress),Polo Neck
neck_women (dress),Racer Neck
neck_women (dress),Roll Neck
neck_women (dress),Round Neck
neck_women (dress),Scoop Neck
neck_women (dress),Square Neck
neck_women (dress),Sweetheart Neck
neck_women (dress),Tie-Up Neck
neck_women (dress),Turtle Neck
neck_women (dress),V Neck
neck_women (dress),Default
neck_women (dress),Hooded
neck_women (dress),Notch Neck
neck_women (dress),Peter Pan
neck_women (dress),Wide Neck
sleeve_styling (dress),Angel Sleeve
sleeve_styling (dress),Bell Sleeve
sleeve_styling (dress),Cap Sleeve
sleeve_styling (dress),Cape Sleeve
sleeve_styling (dress),Cold Shoulder Sleeve
sleeve_styling (dress),Cuffed Sleeve
sleeve_styling (dress),Kimono Sleeve
sleeve_styling (dress),Puff Sleeve
sleeve_styling (dress),Raglan Sleeve
sleeve_styling (dress),Regular Sleeve
sleeve_styling (dress),Roll-Up Sleeve
sleeve_styling (dress),Ruched Sleeve
sleeve_styling (dress),Slit Sleeve
sleeve_styling (dress),No Sleeve
sleeve_styling (dress),Bishop Sleeve
sleeve_styling (dress),Ruffled
sleeve_styling (dress),Batwing Sleeve
sleeve_styling (dress),Flute Sleeve
sleeve_styling (dress),Balloon Sleeve
sleeve_styling (dress),Tie Sleeve
sleeve_styling (dress),Default
sleeve_styling (dress),Marie Sleeves
sleeve_styling (dress),One Sleeve
sleeve_styling (dress),Frill Sleeve
sleeve_styling (dress),Tulip Sleeve
sleeve_length_women_topwear_dr (dress),3/4 Sleeves
sleeve_length_women_topwear_dr (dress),Long Sleeves
sleeve_length_women_topwear_dr (dress),One Sleeve
sleeve_length_women_topwear_dr (dress),Short Sleeves
sleeve_length_women_topwear_dr (dress),Sleeveless
sleeve_length_women_topwear_dr (dress),Strapless
sleeve_length_women_topwear_dr (dress),Strappy
sleeve_length_women_topwear_dr (dress),Default
dress_print (dress),Abstract
dress_print (dress),Animal
dress_print (dress),AOP
dress_print (dress),Aztec
dress_print (dress),Bohemian
dress_print (dress),Camouflage
dress_print (dress),Chain
dress_print (dress),Checked
dress_print (dress),Color Block
dress_print (dress),Conversational
dress_print (dress),Denim
dress_print (dress),Ditsy Print
dress_print (dress),Embellished
dress_print (dress),Embroidered
dress_print (dress),Floral
dress_print (dress),Geometric
dress_print (dress),Gingham checks
dress_print (dress),Graphic
dress_print (dress),Lace
dress_print (dress),Other
dress_print (dress),Paisley
dress_print (dress),Plain
dress_print (dress),Polka Dot
dress_print (dress),Scarf
dress_print (dress),Self Design
dress_print (dress),Sequin
dress_print (dress),Slogan
dress_print (dress),Snake Print
dress_print (dress),Spot
dress_print (dress),Stars & Moons
dress_print (dress),Striped
dress_print (dress),Suggestion Disable
dress_print (dress),Tie and Dye
dress_print (dress),Tribal
dress_print (dress),Tropical
dress_print (dress),Houndstooth
dress_print (dress),Foil
dress_print (dress),Logo
dress_length (dress),Maxi
dress_length (dress),Midi
dress_length (dress),Mini
dress_length (dress),Knee Length
dress_shape (dress),A-Line
dress_shape (dress),Blazer
dress_shape (dress),Bodycon
dress_shape (dress),Cape
dress_shape (dress),Jumper
dress_shape (dress),Pinafore
dress_shape (dress),Sheath
dress_shape (dress),Shift
dress_shape (dress),Shirt
dress_shape (dress),Skater
dress_shape (dress),Slip
dress_shape (dress),Smock
dress_shape (dress),Sweater
dress_shape (dress),Swing
dress_shape (dress),Tea Dress
dress_shape (dress),Tiered
dress_shape (dress),T-Shirt
dress_shape (dress),Tunic
dress_shape (dress),Wiggle
dress_shape (dress),Wrap
dress_shape (dress),Kaftan
